formId,formTitle,state,wrapperName,wrapperDisplayName,coordinator,operator,conditionType,conditionValue,conditionDisplay,conditionDirection,conditionUnit,conditionPeriod,fieldDisplay,fieldName,fieldType,fieldTypeIsListType
667c137a15854a0b085cd700,Request a form,draft,DkjIaR,yes - existing form,,is,Value,true,true,,,,existing form,mCZCyf,YesNoField,false
667c137a15854a0b085cd700,Request a form,draft,ZsxitV,yes - until specific date,,is,Value,true,true,,,,deadline,IQNUjZ,YesNoField,false
667c137a15854a0b085cd700,Request a form,draft,kONqxY,yes - has existing GOV.UK guidance,,is,Value,true,true,,,,Existing GOV.UK guidance,ZxksOp,YesNoField,false
667c137a15854a0b085cd700,Request a form,draft,cWGJtb,No - form owner is different from person submitting request,,is,Value,false,false,,,,Form owner,lelgfW,YesNoField,false
667c137a15854a0b085cd700,Request a form,draft,oodwfD,Yes - form owner is the same as person submitting request,,is,Value,true,true,,,,Form owner,lelgfW,YesNoField,false
667c137a15854a0b085cd700,Request a form,live,DkjIaR,yes - existing form,,is,Value,true,true,,,,existing form,mCZCyf,YesNoField,false
667c137a15854a0b085cd700,Request a form,live,ZsxitV,yes - until specific date,,is,Value,true,true,,,,deadline,IQNUjZ,YesNoField,false
667c137a15854a0b085cd700,Request a form,live,kONqxY,yes - has existing GOV.UK guidance,,is,Value,true,true,,,,Existing GOV.UK guidance,ZxksOp,YesNoField,false
667c137a15854a0b085cd700,Request a form,live,cWGJtb,No - form owner is different from person submitting request,,is,Value,false,false,,,,Form owner,lelgfW,YesNoField,false
667c137a15854a0b085cd700,Request a form,live,oodwfD,Yes - form owner is the same as person submitting request,,is,Value,true,true,,,,Form owner,lelgfW,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,oRkrGQ,Jays on woodland,,contains,Value,Jay,Jay,,,,which wild birds you want to control? ,bNhVtH,CheckboxesField,true
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,WhydQd,Activity in woodland,,is not,Value,true,true,,,,Is the activity in woodland?,bPpQgj,YesNoField,false
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,pEytGr,Airfield,,is,Value,true,true,,,,Is the bird species you want to control causing a genuine risk to air safety? ,HnVuHJ,YesNoField,false
