formId,formTitle,state,name,title,type,itemCount
667c137a15854a0b085cd700,Request a form,draft,hqocBW,Organisations,string,7
667c137a15854a0b085cd700,Request a form,draft,gJIarM,Life of form,string,2
667c137a15854a0b085cd700,Request a form,draft,UEnuwn,Number of applications,string,5
667c137a15854a0b085cd700,Request a form,live,hqocBW,Organisations,string,7
667c137a15854a0b085cd700,Request a form,live,gJIarM,Life of form,string,2
667c137a15854a0b085cd700,Request a form,live,UEnuwn,Number of applications,string,5
667d3db83e15d218b60db446,Test form Andrew,draft,kFWAKs,List 1,string,1
667d3db83e15d218b60db446,Test form Andrew,draft,iWWPSq,list 2,string,1
667d3db83e15d218b60db446,Test form Andrew,draft,HnFRfs,List 3,string,1
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,hsujdZ,Reasons for applying,string,5
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,JdDYiW,Wild birds,string,28
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,PObXDA,Public health or safety ,string,11
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,lwteBn,Conserve,string,2
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,gfCRRo,Type of conservation,string,3
667e6cca4682daf93da25878,Apply for a licence to control wild birds,draft,dnSScQ,Class licence,string,3
667e8b3108138a41f4223a77,Register as a unicorn breeder,live,IeFOkf,number of unicorns,string,3
667e8b3108138a41f4223a77,Register as a unicorn breeder,live,fXiZrL,Type of unicorn,string,4
6683dd5408138a41f4223a78,Apply for an annual mooring licence at Rye Harbour,draft,BHXYic,Mooring site,string,6
6683dd5408138a41f4223a78,Apply for an annual mooring licence at Rye Harbour,draft,BIfePu,Type of boat,string,5
6683dd5408138a41f4223a78,Apply for an annual mooring licence at Rye Harbour,live,BHXYic,Mooring site,string,6
6683dd5408138a41f4223a78,Apply for an annual mooring licence at Rye Harbour,live,BIfePu,Type of boat,string,5
6683dd834682daf93da25879,Register a boat at Rye Harbour,draft,zZCJmu,Type of boat,string,3
6683dd834682daf93da25879,Register a boat at Rye Harbour,live,zZCJmu,Type of boat,string,3
6683f2dd4682daf93da2587a,test form 3,draft,kFWAKs,List 1,string,1
6683f2dd4682daf93da2587a,test form 3,draft,iWWPSq,list 2,string,1
6683f2dd4682daf93da2587a,test form 3,draft,HnFRfs,List 3,string,1
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,qDDJMD,Owner or occupier,string,3
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,DTVIzB,ORNEC's,string,32
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,wCUaIE,Owner or occupier of the land,string,4
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,OpcAIQ,Environmental Land Management schemes,string,4
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,zNFkBG,What are you applying for consent under?,string,6
6684168c4682daf93da2587b,Apply for consent for a planned activity on a site of special scientific interest (SSSI),draft,IfeOoc,More than 1 SSSI,string,2
